uid,tweet,lemmatization,pos_tags,sentiment_score,sentiment_label
20803,dkhan heisunberg agr kse importantc chaeay ni tou ÿ ˜,dkhan heisunberg agr kse importantc chaeay ni tou ÿ ˜,dkhan/NN heisunberg/NN agr/NN kse/NN importantc/NN chaeay/NN ni/JJ tou/NN ÿ/NNP ˜/NN,0.0,neutral
20187,alloo pyaz tomat allah pak naam nazar aa pr aankhon samne allah pak nazar,alloo pyaz tomat allah pak naam nazar aa pr aankhon samne allah pak nazar,alloo/NN pyaz/NN tomat/NN allah/NN pak/NN naam/JJ nazar/JJ aa/NN pr/NN aankhon/NN samne/NN allah/NN pak/NN nazar/NN,1.0,positive
20953,lambaalka wafadaar rahane nayab tarika lamba ji party judi sardar arvindkejriwal,lambaalka wafadaar rahane nayab tarika lamba ji party judi sardar arvindkejriwal,lambaalka/NN wafadaar/WRB rahane/NN nayab/RB tarika/JJ lamba/NN ji/NN party/NN judi/NN sardar/NN arvindkejriwal/NN,-1.0,negative
13777,varnish narendramodi chup bhosdike he exoner charg tum ghanta prove paaye,varnish narendramodi chup bhosdike he exoner charg tum ghanta prove paaye,varnish/JJ narendramodi/NN chup/NN bhosdike/IN he/PRP exoner/VBZ charg/JJ tum/NN ghanta/NN prove/NN paaye/NN,0.0,neutral
20990,hardeepspuri ­ prais great giver give susten paid obeis gurudwara sr,hardeepspuri ­ prais great giver give susten pay obeis gurudwara sr,hardeepspuri/NN ­/NNP prais/VBZ great/JJ giver/RB give/VBP susten/NNS paid/VBN obeis/RB gurudwara/JJ sr/NN,1.0,positive
15075,bomanirani hny ki announc hogyi humka gola rehna nikal jaounga gola,bomanirani hny ki announc hogyi humka gola rehna nikal jaounga gola,bomanirani/NN hny/NN ki/NN announc/NN hogyi/NN humka/NN gola/NN rehna/NN nikal/JJ jaounga/NN gola/NN,0.0,neutral
32292,rt sharmakef wer almost final threeday ramadan ” close finish line so let make sure doubl i,rt sharmakef wer almost final threeday ramadan ” close finish line so let make sure doubl i,rt/NN sharmakef/NN wer/VBZ almost/RB final/JJ threeday/NN ramadan/NN ”/NNP close/RB finish/JJ line/NN so/IN let/JJ make/VB sure/JJ doubl/NN i/NN,1.0,positive
4622,thrat thi song make super happi i sing take khush raho abaad raho hemant da bless,thrat thi song make super happi i sing take khush raho abaad raho hemant da bless,thrat/NN thi/NN song/NN make/VBP super/JJ happi/NN i/NN sing/VBG take/VB khush/JJ raho/NN abaad/NN raho/NN hemant/NN da/NN bless/NN,1.0,positive
22338,sadifabi shahidmasooddr tm dikha rhy asli auqaat wese btao tou ye propaganda kyu krta shahid masood,sadifabi shahidmasooddr tm dikha rhy asli auqaat wese btao tou ye propaganda kyu krta shahid masood,sadifabi/NN shahidmasooddr/NN tm/NN dikha/NN rhy/NN asli/NN auqaat/IN wese/JJ btao/NN tou/NN ye/NN propaganda/NN kyu/NN krta/NN shahid/NN masood/NN,1.0,positive
23996,thevampscon made nadi happi today thank much i love see one friend happi ÿ ’ —,thevampscon make nadi happi today thank much i love see one friend happi ÿ ’ —,thevampscon/NN made/VBD nadi/JJ happi/NN today/NN thank/VBD much/JJ i/NN love/VBP see/VBP one/CD friend/NN happi/NN ÿ/NNP ’/NNP —/NN,1.0,positive
10426,rt dheeraj nirahua msunilbishnoi wah shandaar jabab,rt dheeraj nirahua msunilbishnoi wah shandaar jabab,rt/NN dheeraj/NN nirahua/JJ msunilbishnoi/NN wah/NN shandaar/NN jabab/NN,-1.0,negative
3038,rt deepakrajput sohailm sir krishan goa reema sahanii suar jaiso sikhaya kyonki suar kh,rt deepakrajput sohailm sir krishan goa reema sahanii suar jaiso sikhaya kyonki suar kh,rt/NN deepakrajput/NN sohailm/NN sir/NN krishan/NN goa/NN reema/NN sahanii/NN suar/NN jaiso/NN sikhaya/NN kyonki/VBD suar/JJ kh/NN,-1.0,negative
37328,udaroffici tere jesy chotiya k concel banni k laiq koj badalna pakistan da,udaroffici tere jesy chotiya k concel banni k laiq koj badalna pakistan da,udaroffici/NN tere/EX jesy/NN chotiya/NN k/NN concel/NN banni/NN k/NN laiq/VBZ koj/JJ badalna/NN pakistan/NN da/NN,0.0,neutral
11313,samarthan aabhav rajnitik swartho karan nyay kiya gaya roshavash dharmik imarat,samarthan aabhav rajnitik swartho karan nyay kiya gaya roshavash dharmik imarat,samarthan/NN aabhav/VBZ rajnitik/JJ swartho/NN karan/VBD nyay/JJ kiya/NN gaya/NN roshavash/NN dharmik/NN imarat/NN,-1.0,negative
32158,rt anujver narendramodi congratul sir ji dobara pm banee hardik subhkamnaye aapko,rt anujver narendramodi congratul sir ji dobara pm banee hardik subhkamnaye aapko,rt/NN anujver/NN narendramodi/JJ congratul/NN sir/NN ji/NN dobara/NN pm/NN banee/NN hardik/NN subhkamnaye/NN aapko/NN,1.0,positive
